Time,rt_jmeter
2024-01-04 00:10:00,243.77625815442173
2024-01-04 00:11:00,210.04051882751943
2024-01-04 00:12:00,189.745607722984
2024-01-04 00:13:00,224.64784038899444
2024-01-04 00:14:00,177.913749234552
2024-01-04 00:15:00,167.01165474548196
2024-01-04 00:16:00,150.80782150934215
2024-01-04 00:17:00,158.54957071873062
2024-01-04 00:18:00,160.45812971099926
2024-01-04 00:19:00,144.26935331447703
2024-01-04 00:20:00,156.55175837642176
2024-01-04 00:21:00,150.23975475852174
2024-01-04 00:22:00,158.36705292421576
2024-01-04 00:23:00,162.65798744521857
2024-01-04 00:24:00,162.81290821553847
2024-01-04 00:25:00,149.92697461503045
2024-01-04 00:26:00,171.16553424088002
2024-01-04 00:27:00,154.85441530605527
2024-01-04 00:28:00,155.16652572645216
2024-01-04 00:29:00,155.3735132622553
2024-01-04 00:30:00,171.47772939143982
2024-01-04 00:31:00,141.50359382370831
2024-01-04 00:32:00,155.6752080207475
2024-01-04 00:33:00,150.25608225054904
2024-01-04 00:34:00,172.97634224748978
2024-01-04 00:35:00,161.01739245300925
2024-01-04 00:36:00,155.75991955082782
2024-01-04 00:37:00,151.52634159171978
2024-01-04 00:38:00,161.5122707969704
2024-01-04 00:39:00,152.42480369153367
2024-01-04 00:40:00,166.3101154286993
2024-01-04 00:41:00,159.5288034315145
2024-01-04 00:42:00,166.6826877904931
2024-01-04 00:43:00,151.54854544500787
2024-01-04 00:44:00,151.8550324066706
2024-01-04 00:45:00,151.81307365047357
2024-01-04 00:46:00,156.47872122727372
2024-01-04 00:47:00,147.33535339080865
2024-01-04 00:48:00,141.59017010066302
2024-01-04 00:49:00,141.8225124407988
2024-01-04 00:50:00,147.94237854493218
2024-01-04 00:51:00,160.20438091955427
2024-01-04 00:52:00,160.76425003496223
2024-01-04 00:53:00,152.2713215104192
2024-01-04 00:54:00,146.93780873012466
2024-01-04 00:55:00,136.66479186226087
2024-01-04 00:56:00,160.89446942925582
2024-01-04 00:57:00,145.04560979238153
2024-01-04 00:58:00,137.61309791291376
2024-01-04 00:59:00,154.19437564261307
2024-01-04 01:00:00,155.0536981949836
2024-01-04 01:01:00,145.5510738818155
2024-01-04 01:02:00,147.18542188805347
2024-01-04 01:03:00,139.76328368152815
2024-01-04 01:04:00,165.292867744455
2024-01-04 01:05:00,167.41964075816273
2024-01-04 01:06:00,159.39843279980747
2024-01-04 01:07:00,155.4991170001277
2024-01-04 01:08:00,148.08641742591612
2024-01-04 01:09:00,157.57811546233296
2024-01-04 01:10:00,151.57467590739074
2024-01-04 01:11:00,153.7645522645625
2024-01-04 01:12:00,158.64833244601607
2024-01-04 01:13:00,146.70497054196076
2024-01-04 01:14:00,163.416939659221
2024-01-04 01:15:00,151.98448140044053
2024-01-04 01:16:00,153.19695043779572
2024-01-04 01:17:00,162.64630064290304
2024-01-04 01:18:00,154.76127528188974
2024-01-04 01:19:00,152.76094371598685
2024-01-04 01:20:00,148.88452897426654
2024-01-04 01:21:00,147.92519203249287
2024-01-04 01:22:00,163.84196668547486
2024-01-04 01:23:00,158.71348490118518
2024-01-04 01:24:00,156.34025597844274
2024-01-04 01:25:00,159.10062636515565
2024-01-04 01:26:00,143.64811082390702
2024-01-04 01:27:00,155.53292982090957
2024-01-04 01:28:00,164.4006203975903
2024-01-04 01:29:00,147.6489330385247
2024-01-04 01:30:00,159.43599782298634
2024-01-04 01:31:00,152.88126267807866
2024-01-04 01:32:00,137.7932777514641
2024-01-04 01:33:00,156.5707686163708
2024-01-04 01:34:00,147.6625453782261
2024-01-04 01:35:00,168.03576281591435
2024-01-04 01:36:00,150.98287860936279
2024-01-04 01:37:00,149.02852935400676
2024-01-04 01:38:00,163.10761483029665
2024-01-04 01:39:00,172.9540855139703
2024-01-04 01:40:00,183.34449760341525
2024-01-04 01:41:00,221.74937659728573
2024-01-04 01:42:00,173.38509673947408
2024-01-04 01:43:00,191.48787005717017
2024-01-04 01:44:00,193.04097986032966
2024-01-04 01:45:00,229.4531335039868
2024-01-04 01:46:00,179.6716413159361
2024-01-04 01:47:00,201.09544442372442
2024-01-04 01:48:00,161.91690907635493
2024-01-04 01:49:00,163.97269473766562
2024-01-04 01:50:00,143.15098068714963
2024-01-04 01:51:00,150.92481162680068
2024-01-04 01:52:00,177.0062895797989
2024-01-04 01:53:00,154.0920889361479
2024-01-04 01:54:00,157.15289080216326
2024-01-04 01:55:00,162.21325966374908
2024-01-04 01:56:00,147.2359619718186
2024-01-04 01:57:00,146.3273987212984
2024-01-04 01:58:00,148.53245445529618
2024-01-04 01:59:00,153.18821317945853
2024-01-04 02:00:00,142.94101703631307
2024-01-04 02:01:00,145.15134012246992
2024-01-04 02:02:00,146.32128094137823
2024-01-04 02:03:00,144.75626800672356
2024-01-04 02:04:00,140.85469062990953
2024-01-04 02:05:00,144.67686293131626
2024-01-04 02:06:00,146.92893674505498
2024-01-04 02:07:00,136.62314343826634
2024-01-04 02:08:00,163.205392944416
2024-01-04 02:09:00,148.8902765122486
2024-01-04 02:10:00,151.93877482811305
2024-01-04 02:11:00,149.79854866937578
2024-01-04 02:12:00,145.93375862350877
2024-01-04 02:13:00,177.85857192874272
2024-01-04 02:14:00,167.15460595020298
2024-01-04 02:15:00,179.73652206528382
2024-01-04 02:16:00,170.32287512908505
2024-01-04 02:17:00,183.26666666666665
2024-01-04 02:18:00,145.40765433668244
2024-01-04 02:19:00,200.83537457589057
2024-01-04 02:20:00,183.04163156112097
2024-01-04 02:21:00,196.43104724448142
2024-01-04 02:22:00,185.9147933234649
