Time,rt_jmeter
2023-12-30 23:30:00,344.5160735630461
2023-12-30 23:31:00,412.9022026987322
2023-12-30 23:32:00,410.9377895353982
2023-12-30 23:33:00,342.26731971200064
2023-12-30 23:34:00,210.58523794100367
2023-12-30 23:35:00,223.82477052901945
2023-12-30 23:36:00,202.1069890446976
2023-12-30 23:37:00,206.47642199247167
2023-12-30 23:38:00,184.88860999861964
2023-12-30 23:39:00,149.07079219913356
2023-12-30 23:40:00,153.31057284957706
2023-12-30 23:41:00,136.0660006042837
2023-12-30 23:42:00,151.48544042927955
2023-12-30 23:43:00,144.01343790166985
2023-12-30 23:44:00,132.92396308006155
2023-12-30 23:45:00,132.88057093929308
2023-12-30 23:46:00,143.77823695357407
2023-12-30 23:47:00,144.56377225563955
2023-12-30 23:48:00,126.73899850543108
2023-12-30 23:49:00,135.8386651143501
2023-12-30 23:50:00,154.66012931257507
2023-12-30 23:51:00,139.0400443960145
2023-12-30 23:52:00,139.8085012480594
2023-12-30 23:53:00,133.37625087408176
2023-12-30 23:54:00,149.86536856593028
2023-12-30 23:55:00,146.18763120905615
2023-12-30 23:56:00,138.44289905065398
2023-12-30 23:57:00,136.6059555505541
2023-12-30 23:58:00,154.27950371727624
2023-12-30 23:59:00,147.34772232923976
2023-12-31 00:00:00,124.09132346439478
2023-12-31 00:01:00,149.1529823752283
2023-12-31 00:02:00,141.77635560136304
2023-12-31 00:03:00,135.20785495917818
2023-12-31 00:04:00,135.24128774194122
2023-12-31 00:05:00,137.5308394506706
2023-12-31 00:06:00,140.4266523889002
2023-12-31 00:07:00,132.18607156489819
2023-12-31 00:08:00,137.54858526863495
2023-12-31 00:09:00,161.45078584958574
2023-12-31 00:10:00,140.8516107728408
2023-12-31 00:11:00,150.49984723282546
2023-12-31 00:12:00,144.80766334852325
2023-12-31 00:13:00,134.6452762847916
2023-12-31 00:14:00,140.93407117694966
2023-12-31 00:15:00,149.13600405543843
2023-12-31 00:16:00,145.6453073891227
2023-12-31 00:17:00,135.94022927101827
2023-12-31 00:18:00,133.19106624189249
2023-12-31 00:19:00,131.07065285185902
2023-12-31 00:20:00,159.84417752239744
2023-12-31 00:21:00,140.7236581760259
2023-12-31 00:22:00,131.3915635658007
2023-12-31 00:23:00,136.81195959984024
2023-12-31 00:24:00,135.93270672165656
2023-12-31 00:25:00,133.14833123912348
2023-12-31 00:26:00,144.05289660412643
2023-12-31 00:27:00,137.86688177142133
2023-12-31 00:28:00,147.84831323242955
2023-12-31 00:29:00,147.15230758737437
2023-12-31 00:30:00,135.54195566244442
2023-12-31 00:31:00,149.4210575693205
2023-12-31 00:32:00,140.8127056614974
2023-12-31 00:33:00,145.1666571167205
2023-12-31 00:34:00,129.6368322170546
2023-12-31 00:35:00,144.52050968476294
2023-12-31 00:36:00,144.6288315164783
2023-12-31 00:37:00,145.40729447109365
2023-12-31 00:38:00,144.3426613013402
2023-12-31 00:39:00,148.70281798122812
2023-12-31 00:40:00,141.83714181995222
2023-12-31 00:41:00,127.73322949057652
2023-12-31 00:42:00,132.66821605415564
2023-12-31 00:43:00,136.11985316311151
2023-12-31 00:44:00,135.15627427054088
2023-12-31 00:45:00,136.9590582199982
2023-12-31 00:46:00,142.06408670226438
2023-12-31 00:47:00,132.93946833911986
2023-12-31 00:48:00,143.23638008709594
2023-12-31 00:49:00,132.72781342590537
2023-12-31 00:50:00,142.29259164085187
2023-12-31 00:51:00,141.79716800641927
2023-12-31 00:52:00,139.47841676668637
2023-12-31 00:53:00,137.76180986771686
2023-12-31 00:54:00,140.49668378942732
2023-12-31 00:55:00,132.59083430383416
2023-12-31 00:56:00,132.88463110335596
2023-12-31 00:57:00,131.69358865299867
2023-12-31 00:58:00,127.98077113684748
2023-12-31 00:59:00,133.43019944331795
2023-12-31 01:00:00,135.09545686685183
2023-12-31 01:01:00,125.71339290246546
2023-12-31 01:02:00,129.6887818236732
2023-12-31 01:03:00,127.93067573669971
2023-12-31 01:04:00,126.1796142768824
2023-12-31 01:05:00,131.2596487862379
2023-12-31 01:06:00,140.36802834486008
2023-12-31 01:07:00,135.22894747926492
2023-12-31 01:08:00,135.57749398456082
2023-12-31 01:09:00,145.4268439101053
2023-12-31 01:10:00,130.52394363505962
2023-12-31 01:11:00,129.58174634494551
2023-12-31 01:12:00,132.4104026726012
2023-12-31 01:13:00,124.06695513194364
2023-12-31 01:14:00,128.66015689467838
2023-12-31 01:15:00,127.94164423157684
2023-12-31 01:16:00,129.14562090608885
2023-12-31 01:17:00,144.14137827282434
2023-12-31 01:18:00,141.93206650523965
2023-12-31 01:19:00,133.85474367905343
2023-12-31 01:20:00,124.15534114916636
2023-12-31 01:21:00,125.45390396797836
2023-12-31 01:22:00,132.89750842425033
2023-12-31 01:23:00,127.73974390378349
2023-12-31 01:24:00,135.40338424280958
2023-12-31 01:25:00,128.0433963349241
2023-12-31 01:26:00,129.6021647822415
2023-12-31 01:27:00,134.93833320176878
2023-12-31 01:28:00,129.3129367241683
2023-12-31 01:29:00,136.9557744656341
2023-12-31 01:30:00,134.20018697755793
2023-12-31 01:31:00,142.50943599733802
2023-12-31 01:32:00,131.73366429587475
2023-12-31 01:33:00,138.79509188114287
2023-12-31 01:34:00,131.3663561578732
2023-12-31 01:35:00,123.53365567274267
2023-12-31 01:36:00,129.16743947321817
2023-12-31 01:37:00,133.06874267925116
2023-12-31 01:38:00,137.6649670267197
2023-12-31 01:39:00,129.40146455852368
2023-12-31 01:40:00,136.26413954473952
2023-12-31 01:41:00,131.5448541899863
