Time,pods,cpu,heap,jvm_total_Copy,jvm_total_MarkSweepCompact,jvm_seconds_Copy,jvm_seconds_MarkSweepCompact,memory,rt,tp
2024-02-02 03:28:00,1.0,0.1719285826259089,19392524.0,1.6,0.0222222222222222,0.9908029986861436,1.1111111111111112,888832.0,3.142885017169334,147.5073037037037
2024-02-02 03:29:00,1.0,0.3873846310020902,29890292.0,1.5111111111111108,0.0,0.9733377956269512,0.0,888832.0,4.981696697867999,224.22222222222217
2024-02-02 03:30:00,1.0,0.5937189709201464,29325630.0,1.755555555555555,0.0,0.9892794814260774,0.0,888832.0,5.106223221422669,267.55555555555554
2024-02-02 03:31:00,2.0,0.4228973058675001,46005820.0,2.266868166059205,0.0,1.0236240380917916,0.0,1769472.0,5.546541661491736,339.5857409547515
2024-02-02 03:32:00,2.0,0.5510617072863242,50671974.0,2.9777777777777774,0.0222222222222222,0.9920838316532838,0.8333333333333334,1769472.0,2.444201303087331,373.4992
2024-02-02 03:33:00,4.0,0.3238453770140547,87037097.33333333,3.5998238888888885,0.0222222222222222,1.0352626522469537,1.111111111111111,3805184.0,1.8767391846526624,503.06666666666666
2024-02-02 03:34:00,4.0,0.3548706774817499,84893930.0,3.3110696333165444,0.0444424693113698,1.01183005903074,0.9285242049903564,3768320.0,0.5585375161330389,396.3514349869664
2024-02-02 03:35:00,4.0,0.3639241444151945,91532504.0,1.7334044539271902,0.0,1.001795100271775,0.0,3768320.0,0.1625416630459406,172.8283267398616
2024-02-02 03:36:00,4.0,0.3929297143342987,107061160.0,4.911111111111111,0.0,0.9982905982905972,0.0,3768320.0,0.7470007118453327,580.9555555555555
2024-02-02 03:37:00,4.0,0.3929921277425623,105172568.0,4.333333333333332,0.0,1.002852754004831,0.0,3768320.0,0.6394100125883333,522.7777777777777
2024-02-02 03:38:00,4.0,0.3615715618265461,105210082.0,4.71111111111111,0.0222222222222222,1.0048531851176317,1.1109210387340251,3768320.0,0.726132339303363,599.6666666666665
2024-02-02 03:39:00,4.0,0.3487362188544723,103791872.0,4.377777777777777,0.0,1.007295603222281,0.0,3768320.0,0.668499096904715,541.8888888888889
2024-02-02 03:40:00,4.0,0.3586507260325291,116505860.0,4.6,0.0222222222222222,1.0128240065310123,0.8333333333333343,3768320.0,0.7452776012453647,600.9333333333332
2024-02-02 03:41:00,4.0,0.3222761958659892,114828510.0,2.6,0.0,0.9930158730158712,0.0,3768320.0,0.4346434758876666,389.4888888888889
2024-02-02 03:42:00,3.0,0.4012546607546934,94877058.0,2.822222222222222,0.0,1.0089672565536951,0.0,2772992.0,0.8190474047549481,468.711111111111
2024-02-02 03:43:00,3.0,0.3856994613050267,91919900.0,3.444444444444444,0.0,1.002633198130151,0.0,2772992.0,0.8815228115162275,561.6444444444444
2024-02-02 03:44:00,3.0,0.3740555670281077,98296154.0,3.644216331780489,0.0,0.9994220830377168,0.0,2772992.0,0.9215263777898208,603.3678153768673
2024-02-02 03:45:00,3.0,0.3678631389520395,109425582.0,2.933333333333333,0.0222222222222222,1.0137610830157011,1.1111111111111105,2772992.0,0.8388520744690107,561.0444444444444
2024-02-02 03:46:00,3.0,0.3758806373293376,107756048.0,2.555608892444681,0.0,0.9907346529481572,0.0,2772992.0,0.7150654206932708,482.07937566208113
2024-02-02 03:47:00,3.0,0.3928822483874608,103779544.0,3.3996253766593365,0.0,0.9980493821578578,0.0,2772992.0,0.9415454758530964,624.6885720138102
2024-02-02 03:48:00,3.0,0.3936952651708434,115116938.0,2.7999999999999994,0.0,1.016838698549272,0.0,2772992.0,0.8973101211649022,554.7555555555554
2024-02-02 03:49:00,3.0,0.3881883717501447,122965258.0,3.0888503720822285,0.0,0.9913698482809116,0.0,2772992.0,0.9409063085748088,604.1021880509014
