Time,pods,cpu,heap,jvm_total_Copy,jvm_total_MarkSweepCompact,jvm_seconds_MarkSweepCompact,jvm_seconds_Copy,memory,rt,tp
2024-01-31 00:34:00,1.0,0.1778562703446254,20948048.0,1.3333333333333333,0.0222222222222222,0.8333333333333327,0.9729672872620166,880640.0,2.875560971433333,117.16358518518518
2024-01-31 00:35:00,1.0,0.3916883973200121,28849110.0,1.622222222222222,0.0,0.0,1.0242395437262335,880640.0,5.5177303790986665,230.68888888888887
2024-01-31 00:36:00,1.0,0.5931495343997653,29961362.0,1.8666666666666665,0.0,0.0,1.0283467825367285,880640.0,5.528719837918668,274.1555555555555
2024-01-31 00:37:00,2.0,0.441682086417891,45001122.0,1.9777777777777776,0.0,0.0,0.9853308806188416,4861952.0,5.392670478609331,278.68888888888887
2024-01-31 00:38:00,2.0,0.5366971680564404,50760200.0,2.822222222222222,0.0222222222222222,0.8333333333333323,0.9938317295830243,2068480.0,2.8098854360273355,368.7558844444444
2024-01-31 00:39:00,4.0,0.3552253147382981,86572659.33333333,4.144444444444444,0.0222222222222222,1.1110963219770202,1.014681091471974,4308992.0,2.400810293781479,527.3333333333333
2024-01-31 00:40:00,7.0,0.2476517950843877,110031654.0,5.710971861135183,0.0444444444444444,0.8333311004697074,1.0178967515584134,6090752.0,1.142702358580152,701.6708373152417
2024-01-31 00:41:00,7.0,0.2999655706930939,140453576.0,6.755742727891021,0.0,0.0,0.9808600633258892,7028736.0,0.8477977972018985,759.4859982356644
2024-01-31 00:42:00,7.0,0.3396919942944586,147519952.0,7.6,0.0222222222222222,0.8333333333333331,1.0172969168878574,7028736.0,0.4210513055615693,769.7652372222221
2024-01-31 00:43:00,7.0,0.3613634943263294,152811452.0,7.466666666666666,0.0,0.0,0.9959883929331595,7028736.0,0.3684196956632252,776.5333333333331
2024-01-31 00:44:00,7.0,0.3431458339848269,154703112.0,7.133234576679604,0.0,0.0,0.9965273773519692,7028736.0,0.3634898746865631,732.3240660089473
2024-01-31 00:45:00,7.0,0.2965218937724733,160671338.0,6.155555555555555,0.0444444444444444,0.8333333333333338,1.004406428201144,7028736.0,0.3158142814369514,663.911111111111
2024-01-31 00:46:00,7.0,0.2693580690022984,164170778.0,5.15536595752534,0.0,0.0,1.0049747861008254,7028736.0,0.2984473025497975,601.4200425791752
2024-01-31 00:47:00,6.0,0.2672106562286657,125554488.0,5.422109644639972,0.0222222222222222,1.11111111111111,0.9877787739301064,7028736.0,0.3385281224075519,565.1227540031699
2024-01-31 00:48:00,5.0,0.2744955055215889,141999988.0,4.6708665815929375,0.0,0.0,0.8755783584255284,5840896.0,0.3810499492873492,567.6477389884558
2024-01-31 00:49:00,4.0,0.3263096951362015,104312012.0,4.088888888888889,0.0,0.0,1.0021265284423209,3870720.0,0.4703439226606659,524.6888888888888
2024-01-31 00:50:00,3.0,0.4224871392003147,85596882.0,3.555555555555556,0.0222222222222222,1.1111111111111107,0.98651960784314,2904064.0,0.6611246902239913,504.2666666666665
2024-01-31 00:51:00,3.0,0.3973515935384783,89278152.0,3.177777777777777,0.0,0.0,1.0043176489332726,2904064.0,0.5448078314787643,487.1333333333332
2024-01-31 00:52:00,3.0,0.3927758846886973,89223374.0,2.955555555555556,0.0,0.0,1.0086109948273232,2904064.0,0.5193868026341212,461.37777777777774
2024-01-31 00:53:00,3.0,0.372900899410391,90950260.0,2.644444444444444,0.0,0.0,1.0111859665019505,2904064.0,0.4432024782921653,405.7111111111111
2024-01-31 00:54:00,3.0,0.3568792748280009,91557862.0,2.622222222222222,0.0,0.0,0.9879822896900634,2904064.0,0.4229856456488851,377.44444444444446
2024-01-31 00:55:00,3.0,0.3359409119310128,97920150.0,2.0666666666666664,0.0,0.0,1.0017271157167438,2904064.0,0.3475738526911061,323.4666666666666
2024-01-31 00:56:00,3.0,0.3144687397591239,104143554.0,2.422222222222222,0.0,0.0,1.0037792894935815,2904064.0,0.3917262396853266,366.6444444444444
2024-01-31 00:57:00,3.0,0.2969055212648372,101535856.0,2.2222222222222223,0.0222222222222222,1.1111111111111098,1.005681964127981,2904064.0,0.3994777729737673,375.5333333333333
2024-01-31 00:58:00,2.0,0.4478053016487081,112960832.0,2.73716,0.0,0.0,0.8175164073409199,4034560.0,0.666414727001778,454.3319344444444
2024-01-31 00:59:00,3.0,0.3165430552501443,96978444.0,2.1111111111111107,0.0,0.0,0.99641945733532,2916352.0,0.8074373458359909,450.8
2024-01-31 01:00:00,4.0,0.2703783184731999,115275272.0,3.222222222222222,0.0222222222222222,1.1111111111111107,1.0283687943262565,4161536.0,0.8197664120506686,496.3764822222221
2024-01-31 01:01:00,4.0,0.3149174314692079,119270830.0,3.711215344845733,0.0,0.0,1.0019544648448728,4141056.0,0.7178727198089838,578.7742857450387
2024-01-31 01:02:00,4.0,0.3586716895946712,126095620.0,4.4,0.0,0.0,0.987266228358326,4141056.0,0.619447194175095,621.9456740740741
2024-01-31 01:03:00,4.0,0.3990198185768884,133884308.0,4.821770920025834,0.0,0.0,0.9947122873242662,4141056.0,0.6022968926815051,699.6288978347006
2024-01-31 01:04:00,4.0,0.4199217933720428,132558890.0,4.577576332108859,0.0,0.0,1.0043652241713446,4141056.0,0.5629772386269387,651.8697476004265
2024-01-31 01:05:00,4.0,0.4045946723538762,119593144.0,4.177777777777777,0.0444444444444444,1.1111111111111094,1.0001651800462492,4141056.0,0.5257303331893287,600.1111111111112
